Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,,,,4.998220496,,,,5.474349075,5.474349075,,,,,5.627902457,,,,
Albania, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,14.41172618,,,11.65207275,11.28083536,8.34560807,8.168406728,7.337261448,7.108814532,6.607231404,5.721158856,2.083888527,4.903908855,4.871445647,1.236789633,1.102267456,1.174491273,1.137434543,1.105205551,1.059023602,0.851714604,1.017478625,1.017478625,1.103696086,1.129391108,0.22824372
Algeria, World,Import,  All Products,AHS Weighted Average (%),,,,,,15.44094089,,,,16.92663645,17.25977704,,,15.16061542,12.99305217,11.97114569,,10.22522507,9.931624916,9.627678514,9.195490094,9.361407063,12.14729403,,,,8.351526492,8.274637857,8.852635604,9.379156409,,,,,
Angola, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,6.162609417,7.084666661,7.084666661,,9.165561359,9.149432329,9.232147476,8.359603326,7.605537095,7.522487045,10.29924187,9.383298197,9.379806516,7.770918242,7.680441837,6.519359275,9.233434776,11.33184851,8.851875415
Antigua and Barbuda, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,20.30108155,15.38794046,,,,,12.17525462,11.72908387,13.56626973,,14.80299593,11.55941063,11.55941063,11.99761053,14.51070904,9.948276082,12.03352209,11.8753322,12.71593662,14.89385941,13.07249817,13.07249817,13.07249817,
Argentina, World,Import,  All Products,AHS Weighted Average (%),,,,,,12.53088357,,8.343798368,13.3268214,13.92851764,15.66742526,11.28783312,10.51924172,9.245740642,12.01338084,12.87379757,5.960138778,5.218348603,5.491173299,5.829580539,5.386475779,5.929926915,5.991948573,5.675683151,6.015493937,6.274821774,6.626655398,7.345068729,7.533329552,7.934623355,7.415004281,7.259393159,6.875389169,6.505762043,6.449004169
Armenia, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,2.431135452,,2.26503786,2.40790389,2.275164736,1.937054055,2.418605402,2.26867409,2.68694908,2.796567344,3.075486101,2.405788929,2.229225694,2.389059608,2.929875016,2.1304385,2.217306264,,4.089890349,3.106203518,3.610818356,
Aruba, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,,,,,,,9.9681454,9.518090925,9.69445209,,10.01850092,10.15830485,10.29854226,10.14913456,12.12078052,,9.660332448,
Australia, World,Import,  All Products,AHS Weighted Average (%),,,,18.56317303,,9.749194812,,,6.809230555,6.823238312,6.490103842,6.095333095,5.827702316,4.795427077,3.689701629,3.73573442,3.693014137,3.068468308,3.379440538,3.447243331,3.153997968,3.672577144,2.803818548,1.773046202,1.813415808,1.841920289,1.910976915,1.9030303,1.181247836,0.894543925,0.863904018,0.772975346,0.712769184,0.811965386,1.016898525
Austria, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,2.521986643,3.170670569,2.466249804,2.330717022,2.139332213,2.543826992,2.3650606,2.263398569,1.72842807,1.745770214,1.992299883,1.438612968,1.364091746,1.447401437,1.999294834,2.049864431,2.063932081,1.994114873,1.945164779,2.190367604,1.971434392,1.610162275,1.424877708
Azerbaijan, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,6.752631918,,,6.09259762,,4.036472511,3.855295217,4.40233327,,4.064860066,4.760374949,4.740526679,5.226646,5.189608973,,,,11.98376294,5.932679458,6.016795071,5.451596924
"Bahamas, The", World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,28.58325953,,,25.02379918,,,,23.87274183,,,,20.2192802,19.45631604,,19.77664064,19.70620018,18.66090442,18.56402043,,17.04578276,,,,17.41447223
Bahrain, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,10.3602068,8.511485137,5.792245676,5.761023235,5.774417484,5.139744089,4.959627716,4.477493663,4.225617975,4.612726698,5.154671434,3.15125868,3.15125868,3.757783296,2.92813786,3.295243589,3.125002933,7.825012141,4.279404528,3.504255626,2.016745776,2.085583487,3.711169716
Bangladesh, World,Import,  All Products,AHS Weighted Average (%),,88.434173,,,,,,,,,22.13940571,,18.10483992,17.87937701,18.3105471,19.05994803,15.79946243,22.70472429,21.62292378,9.230809819,7.713031507,10.71007328,9.939475904,9.625906238,12.83912088,12.09292571,,11.82304642,,,,,,,
Barbados, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,22.7668892,21.01327104,20.34164575,20.78107571,21.44620887,15.48004541,19.55259594,12.66036587,14.78796912,,,15.7735749,13.15096034,8.424247581,14.20907517,14.22392162,,,,,,11.82249387,12.2391511,14.57930568
Belarus, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,7.631917945,7.914379119,8.80469829,,,,,,2.746387371,2.788882463,2.625176504,2.342820415,2.474735058,2.963884678,2.385390124,1.965478239,1.818530827,1.51414042,1.654047995,2.82017184,1.761465128,2.265922987,
Belgium, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,2.940886409,3.657940575,3.258698667,3.438156111,2.50430984,3.086772044,2.759873538,2.554883999,2.182658476,2.30908045,2.552669839,1.80657499,1.868375,1.819629652,2.078209847,2.117853799,2.170453039,2.034774449,1.909451386,1.992563436,1.552779779,1.237302186,0.870826673
Belize, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,15.63194058,,,11.18786316,,10.71706164,11.65136553,11.35176102,12.28048142,11.16036257,9.566976048,9.2735308,8.958668565,11.68341265,11.72511349,8.46798127,8.164119815,10.04994546,10.04994546,10.03606975,10.52377162,10.38591082,11.07787784,11.17027831,18.69270146,17.79348101,18.24295564
Benin, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,12.62492231,12.69647627,12.6931209,12.69535184,12.67882733,11.56917714,11.03486168,11.03486168,11.03486168,11.03486168,11.15133993,11.15133993,11.15134278,10.64455816,11.80681843,11.20499501,17.84367765,15.25304969,9.86275133,9.86275133,10.88928014,10.31595975
